	iid	truth	pred	score	others	diff
2863	be6b70ae-06d9-459c-9ef0-832e37fe7b00	SAM1	SAM1	7.190935372396841	7.905386161411065	9.037519160059587
2864	be86f81a-f7e7-4d3f-a5d2-cdac9992a57f	DEN-WT	DEN-WT	6.261410474701122	7.374870605407147	15.098029379520947
2865	be8fdcfc-5171-4ea6-8191-b6a0b24014f9	FTL6-WT	FTL6-WT	11.25737788885847	14.363845067069178	21.62698889959941
2866	be9322c7-31d5-4391-b20b-1f9bc0fcabc3	TPP1-ThiM	HAC1	1.7447632088942	1.9834066015343794	12.031995479674363
2867	be98d4fd-d2b4-45ba-b783-35618c439ee5	DEN-WT	DEN-WT	3.2697407099907445	4.359626733856774	24.999526115435444
2868	bec82085-e8a0-4996-ada2-62577d9e9b5f	YVRC	YVRC	8.228173289971414	10.000137283977683	17.719396681136836
2869	bed90837-41c4-40d9-b444-60a26d8c7b4b	YDAO	YDAO	8.432926202263612	9.067846940016082	7.001890768034334
2870	beda1dea-36cc-47d7-ba2f-917dbbdf88ed	LYSC	YKOK	8.061522977521182	8.397906452756317	4.005563495229557
2871	bf0d5656-b42f-4c2e-9d76-c3921bf51192	TPP1-ThiM	TPP1-ThiM	11.06168848720935	13.988024212099935	20.92029353480274
2872	bf1ad358-5363-4768-801b-dc2fc3f8a7cb	YKOK	SAM1	14.242481569327191	15.544665176173742	8.377045063939283
2873	bf36e424-a48d-41ed-9a52-55c43d4172c7	MRPS21-Father	MRPS21-Father	8.883042424385783	10.272773839190458	13.528297581154503
2874	bf47b347-acd3-4f72-9b43-8f1a04b41ca8	FTL6-WT	FTL6-WT	7.799808801596255	8.505177224628923	8.29340064766779
2875	bf55558b-f137-4015-843f-1e73088555c7	FTL6-WT	FTL6-WT	8.345118537434482	10.518185174428135	20.660091079940514
2876	bf5bef81-e2d6-4370-a42d-039598e51449	FTL6-WT	FTL6-WT	8.793799525548655	12.89646222491581	31.81231122005584
2877	bf5c3d38-3730-4946-9114-58025a947e62	SAM1	SAM1	10.22586314834859	14.224465074946217	28.11073671684448
2878	bf6b9c66-dbf1-4c16-bc4a-1b46ad768ec4	YVRC	YVRC	8.737562882161706	9.611438043478037	9.092033443521077
2879	bf71ab62-9348-473d-a69c-f7d87d3f4f9d	YKOK	YKOK	7.468473233390629	9.110966173226922	18.027648315310945
2880	bf7d7052-82e4-454e-83fb-578a0009a1b4	YDAO	YDAO	6.7317425672095474	7.770688945272522	13.370067768509017
2881	bf7e8f60-6b61-44ff-a6c2-45dd704be706	FTL6-WT	FTL6-WT	9.180590527609807	12.544469933020912	26.815636080057377
2882	bf9d8957-f930-4f2a-8d9f-be3c9620f32f	DEN-WT	DEN-WT	10.002392200461731	11.59767658091075	13.755206651259657
2883	bfa26bd1-d7d1-4110-92ca-13b490cc9c5b	SAM1	SAM1	7.141303379756552	8.109696477033495	11.941175604036642
2884	bfb65a25-ddca-406a-b471-e52c2fd4e5cd	TETRA-WT	TETRA-WT	7.909839255508081	10.458342393001805	24.36813638076196
2885	bfb72c4d-f92c-4701-b18c-432be0ad71eb	YDAO	YDAO	6.320241227584735	6.8079115824278285	7.163288608239839
2886	bfdf4b03-4ea3-4e49-aaf4-f8da91505ff8	YKOK	YKOK	7.1362376332710955	8.852627470944597	19.388479220512806
2887	bfe67f32-6a92-41a6-9ff1-621631a31233	FTL6-WT	FTL6-WT	7.882029834275369	10.034147499751105	21.447937311357236
2888	c006a597-3182-4fd1-82bb-32ba037161fb	TPP1-ThiM	TPP1-ThiM	7.230607210081861	9.16430792574189	21.100346379985773
2889	c03354a0-3226-4acd-951e-00470e1b7a1b	YDAO	YDAO	6.6339858785672785	7.334936433558513	9.55632760202629
2890	c03e9acc-e62b-463b-beb5-634a0533db21	TPP1-ThiM	TPP1-ThiM	11.692990952097986	14.839881817752895	21.205632930919265
2891	c0426978-1821-4694-b682-2da4fc4285e7	SAM1	SAM1	16.354639824392766	18.505366596290106	11.622178683714973
2892	c0434aa9-fc1c-49c1-be62-bc3370faa823	YDAO	SAM1	2.1264878476696856	2.272970624629215	6.444552136850638
2893	c05694f1-8265-48ef-9203-0333204a91ae	RIBD	RIBD	7.119943231501702	9.035258508772458	21.198234399283088
2894	c083bd8f-80e5-4308-8f01-af5bb44b487a	YDAO	YDAO	6.426531755328067	7.817432048232797	17.79229143691956
2895	c0a2ac63-1217-4b73-8e73-220aa05a94a1	RIBD	RIBD	7.587345954545497	9.368901530512382	19.015629208661906
2896	c0acc268-446f-473e-a0dd-a4c70deaa115	TPP1-ThiM	TPP1-ThiM	8.969658064038084	13.413069119914685	33.1274745261647
2897	c0af4a9b-1881-4dab-b9ba-b28b4a743afc	LYSC	LYSC	7.12065412286123	8.834764885562386	19.401883184263628
2898	c0cbe205-d568-4ecd-8c1d-e7f676ff9a68	DEN-WT	DEN-WT	12.85420677826804	13.823331702527229	7.010791212381965
2899	c0cca392-1a80-4e31-8b0f-8db43b6eb4b4	YDAO	YDAO	6.090342478045623	7.150157926687535	14.822266298289918
